date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
252,2021-09-09,9,9,September,3,2021,36,Thursday,False
253,2021-09-10,10,9,September,3,2021,36,Friday,False
254,2021-09-11,11,9,September,3,2021,36,Saturday,True
255,2021-09-12,12,9,September,3,2021,36,Sunday,True
256,2021-09-13,13,9,September,3,2021,37,Monday,False
257,2021-09-14,14,9,September,3,2021,37,Tuesday,False
258,2021-09-15,15,9,September,3,2021,37,Wednesday,False
259,2021-09-16,16,9,September,3,2021,37,Thursday,False
260,2021-09-17,17,9,September,3,2021,37,Friday,False
261,2021-09-18,18,9,September,3,2021,37,Saturday,True
262,2021-09-19,19,9,September,3,2021,37,Sunday,True
263,2021-09-20,20,9,September,3,2021,38,Monday,False
264,2021-09-21,21,9,September,3,2021,38,Tuesday,False
265,2021-09-22,22,9,September,3,2021,38,Wednesday,False
266,2021-09-23,23,9,September,3,2021,38,Thursday,False
267,2021-09-24,24,9,September,3,2021,38,Friday,False
268,2021-09-25,25,9,September,3,2021,38,Saturday,True
269,2021-09-26,26,9,September,3,2021,38,Sunday,True
270,2021-09-27,27,9,September,3,2021,39,Monday,False
271,2021-09-28,28,9,September,3,2021,39,Tuesday,False
272,2021-09-29,29,9,September,3,2021,39,Wednesday,False
273,2021-09-30,30,9,September,3,2021,39,Thursday,False
274,2021-10-01,1,10,October,4,2021,39,Friday,False
275,2021-10-02,2,10,October,4,2021,39,Saturday,True
276,2021-10-03,3,10,October,4,2021,39,Sunday,True
277,2021-10-04,4,10,October,4,2021,40,Monday,False
278,2021-10-05,5,10,October,4,2021,40,Tuesday,False
279,2021-10-06,6,10,October,4,2021,40,Wednesday,False
280,2021-10-07,7,10,October,4,2021,40,Thursday,False
281,2021-10-08,8,10,October,4,2021,40,Friday,False
282,2021-10-09,9,10,October,4,2021,40,Saturday,True
283,2021-10-10,10,10,October,4,2021,40,Sunday,True
284,2021-10-11,11,10,October,4,2021,41,Monday,False
285,2021-10-12,12,10,October,4,2021,41,Tuesday,False
286,2021-10-13,13,10,October,4,2021,41,Wednesday,False
287,2021-10-14,14,10,October,4,2021,41,Thursday,False
288,2021-10-15,15,10,October,4,2021,41,Friday,False
289,2021-10-16,16,10,October,4,2021,41,Saturday,True
290,2021-10-17,17,10,October,4,2021,41,Sunday,True
291,2021-10-18,18,10,October,4,2021,42,Monday,False
292,2021-10-19,19,10,October,4,2021,42,Tuesday,False
293,2021-10-20,20,10,October,4,2021,42,Wednesday,False
294,2021-10-21,21,10,October,4,2021,42,Thursday,False
295,2021-10-22,22,10,October,4,2021,42,Friday,False
296,2021-10-23,23,10,October,4,2021,42,Saturday,True
297,2021-10-24,24,10,October,4,2021,42,Sunday,True
298,2021-10-25,25,10,October,4,2021,43,Monday,False
299,2021-10-26,26,10,October,4,2021,43,Tuesday,False
300,2021-10-27,27,10,October,4,2021,43,Wednesday,False
301,2021-10-28,28,10,October,4,2021,43,Thursday,False
302,2021-10-29,29,10,October,4,2021,43,Friday,False
303,2021-10-30,30,10,October,4,2021,43,Saturday,True
304,2021-10-31,31,10,October,4,2021,43,Sunday,True
305,2021-11-01,1,11,November,4,2021,44,Monday,False
306,2021-11-02,2,11,November,4,2021,44,Tuesday,False
307,2021-11-03,3,11,November,4,2021,44,Wednesday,False
308,2021-11-04,4,11,November,4,2021,44,Thursday,False
309,2021-11-05,5,11,November,4,2021,44,Friday,False
310,2021-11-06,6,11,November,4,2021,44,Saturday,True
311,2021-11-07,7,11,November,4,2021,44,Sunday,True
312,2021-11-08,8,11,November,4,2021,45,Monday,False
313,2021-11-09,9,11,November,4,2021,45,Tuesday,False
314,2021-11-10,10,11,November,4,2021,45,Wednesday,False
315,2021-11-11,11,11,November,4,2021,45,Thursday,False
316,2021-11-12,12,11,November,4,2021,45,Friday,False
317,2021-11-13,13,11,November,4,2021,45,Saturday,True
318,2021-11-14,14,11,November,4,2021,45,Sunday,True
319,2021-11-15,15,11,November,4,2021,46,Monday,False
320,2021-11-16,16,11,November,4,2021,46,Tuesday,False
321,2021-11-17,17,11,November,4,2021,46,Wednesday,False
322,2021-11-18,18,11,November,4,2021,46,Thursday,False
323,2021-11-19,19,11,November,4,2021,46,Friday,False
324,2021-11-20,20,11,November,4,2021,46,Saturday,True
